Id,SalePrice
1461,129628.7645
1462,161001.6274
1463,174812.537
1464,191413.6617
1465,182125.045
1466,179098.8953
1467,177874.9066
1468,171533.9718
1469,180050.6144
1470,116640.8288
1471,204797.3963
1472,96460.38408
1473,109169.3225
1474,149689.8484
1475,135199.8978
1476,345703.2426
1477,257239.2698
1478,269586.6102
1479,270235.6293
1480,495871.1321
1481,311566.7156
1482,208885.4953
1483,183728.123
1484,170593.0945
1485,180774.7796
1486,202366.2871
1487,320522.4484
1488,233605.8724
1489,199488.4699
1490,208578.9678
1491,184461.5518
1492,103442.6674
1493,179357.7579
1494,311210.6645
1495,307257.6956
1496,231161.9059
1497,191298.3438
1498,156121.9474
1499,155412.7613
1500,154653.4133
1501,175021.1045
1502,159823.8439
1503,320773.7099
1504,234611.6438
1505,231063.7052
1506,176942.1746
1507,229005.9635
1508,205855.3309
1509,162588.9059
1510,147966.6836
1511,142906.6478
1512,172726.511
1513,153274.124
1514,170485.0307
1515,178034.7973
1516,163252.8041
1517,160952.65
1518,125352.252
1519,227426.3838
1520,138562.1001
1521,140258.7025
1522,159986.0916
1523,117517.3868
1524,129129.9638
1525,130930.6108
1526,119500.7726
1527,97531.51993
1528,128244.6011
1529,149626.3995
1530,182122.5018
1531,114876.826
1532,101737.9055
1533,144494.1074
1534,116503.0353
1535,154173.7313
1536,120793.5402
1537,65312.09342
1538,152881.7146
1539,163992.8317
1540,101566.9562
1541,147034.5548
1542,147459.1062
1543,230696.6927
1544,71716.83394
1545,100004.3394
1546,134643.8265
1547,136871.2979
1548,134219.9252
1549,106414.9953
1550,146017.1056
1551,113174.1284
1552,125607.7271
1553,148608.719
1554,109233.0559
1555,166530.9831
1556,82362.84963
1557,124784.3764
1558,87424.27607
1559,92539.62159
1560,137733.4539
1561,155118.0577
1562,130078.0065
1563,118009.554
1564,163557.8428
1565,147751.7784
1566,238870.0816
1567,71532.81634
1568,233555.3258
1569,148411.5322
1570,136445.6687
1571,115033.3754
1572,144601.3575
1573,232260.0387
1574,110874.684
1575,203034.781
1576,236430.4476
1577,191727.9839
1578,144331.3356
1579,147814.6489
1580,187961.8097
1581,146112.3641
1582,126409.3566
1583,325046.0962
1584,225825.3817
1585,139326.1422
1586,69034.18748
1587,105711.7321
1588,150809.8858
1589,103969.5181
1590,129462.0009
1591,102635.5137
1592,122316.5908
1593,113223.1143
1594,138279.9867
1595,112418.2284
1596,243124.0361
1597,176299.8708
1598,177556.976
1599,165010.0899
1600,160494.0666
1601,72985.36694
1602,119541.5493
1603,90879.78257
1604,267581.8296
1605,258238.0664
1606,170859.8962
1607,154612.4033
1608,217835.7501
1609,183818.5897
1610,164712.3161
1611,147406.7036
1612,159519.3643
1613,159343.2471
1614,129727.8899
1615,95166.92162
1616,74751.29037
1617,98860.88051
1618,125187.0054
1619,140829.069
1620,149408.5566
1621,145886.0139
1622,143895.8245
1623,319194.9579
1624,218085.0798
1625,126833.1452
1626,170490.1512
1627,182418.857
1628,259880.4081
1629,178827.3792
1630,394191.9518
1631,202640.7033
1632,243995.479
1633,174520.1596
1634,183321.7667
1635,175060.8698
1636,159190.5225
1637,189525.3309
1638,189941.2901
1639,176094.2544
1640,261243.2593
1641,179500.4147
1642,228562.6916
1643,218726.9836
1644,228404.911
1645,194262.7881
1646,162169.7281
1647,161152.6529
1648,131572.5515
1649,140335.8818
1650,120921.744
1651,125643.1707
1652,98658.3013
1653,118178.4445
1654,151392.8081
1655,159597.2702
1656,148034.1275
1657,149458.9104
1658,148832.0004
1659,135992.8298
1660,151491.6778
1661,509158.9358
1662,430461.8373
1663,405633.3096
1664,511324.1598
1665,281614.562
1666,351229.4254
1667,401426.9465
1668,349406.4871
1669,288709.843
1670,340612.1575
1671,275862.9912
1672,527852.3765
1673,277698.8571
1674,246691.6781
1675,183541.6892
1676,194288.5256
1677,234000.8425
1678,530353.8899
1679,388920.5998
1680,343662.6214
1681,226450.5397
1682,299634.4451
1683,172410.9869
1684,167740.5034
1685,172703.7702
1686,163583.2289
1687,167987.5879
1688,184842.1064
1689,185442.6324
1690,191784.7934
1691,183732.9208
1692,241589.4247
1693,167360.1222
1694,178857.7097
1695,163092.9291
1696,288617.9643
1697,167335.4954
1698,354844.947
1699,361575.0427
1700,239815.4092
1701,271490.1713
1702,255810.7201
1703,243748.2638
1704,287801.9517
1705,222736.1644
1706,511531.3692
1707,215868.6995
1708,215709.6591
1709,258348.2041
1710,221430.7737
1711,254268.0323
1712,267777.3956
1713,255923.4946
1714,227475.4915
1715,201729.4919
1716,179882.1111
1717,171452.4137
1718,127910.5852
1719,199329.7818
1720,257524.8888
1721,163943.7437
1722,123496.8669
1723,155037.2872
1724,208458.6885
1725,229123.567
1726,187206.4694
1727,166642.6563
1728,180019.8167
1729,164782.8676
1730,134828.9399
1731,124101.1001
1732,132602.2525
1733,110370.7453
1734,124884.8599
1735,131607.8974
1736,119785.6974
1737,323162.1281
1738,242192.9485
1739,243399.0137
1740,207765.2333
1741,191311.8148
1742,171151.7807
1743,175721.8389
1744,273061.056
1745,235003.3571
1746,196687.2801
1747,207188.5394
1748,230895.5411
1749,155302.8062
1750,135886.0859
1751,235609.5195
1752,125825.197
1753,135701.104
1754,199728.3402
1755,179335.0008
1756,130815.7276
1757,122749.4118
1758,144558.709
1759,156173.3805
1760,167346.5069
1761,152156.59
1762,170551.4875
1763,164472.6102
1764,115183.9854
1765,172358.4728
1766,175817.9707
1767,221212.2403
1768,143033.3864
1769,172551.2464
1770,142626.7612
1771,131358.0819
1772,137084.6728
1773,142561.9898
1774,121431.4561
1775,139449.7577
1776,124922.0937
1777,118402.554
1778,133690.8323
1779,107847.7692
1780,178535.2338
1781,132284.9794
1782,72484.73663
1783,150938.3577
1784,102567.6796
1785,115459.0927
1786,129707.4152
1787,165666.0464
1788,55435.1817
1789,87444.81455
1790,76592.41637
1791,166990.8285
1792,160524.4024
1793,139161.8007
1794,141170.2892
1795,143401.1795
1796,109504.196
1797,124778.2413
1798,123136.0368
1799,122131.8737
1800,121016.6638
1801,139747.44
1802,120271.4351
1803,150943.8798
1804,142615.037
1805,136642.7169
1806,122424.4524
1807,135178.231
1808,105199.2306
1809,124562.3979
1810,148584.521
1811,103887.5769
1812,109978.1896
1813,121754.3658
1814,97002.88803
1815,53938.68471
1816,99836.89597
1817,107761.8161
1818,139936.5914
1819,109197.6371
1820,62828.42978
1821,101417.0082
1822,158195.7951
1823,52167.6184
1824,134067.3589
1825,129459.6362
1826,100389.9181
1827,93770.06283
